date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-06-16,104 Ashburne,Supplies,Home Depot,Screws,44.03,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-08-13,366 Mesa,,Lowe's,Nail Guards,43.84,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-01-13,104 Ashburne,Utilities,Energy Texas,Electricity,43.57,Atmos Energy,2026-01-13,57.65,pending,https://mail.google.com/mail/u/0/#all/19bbebe1e4fc35df,gm-19bbebe1e4fc35df
2026-09-04,469 Brushwood,,Lowes,Garage Floor Paint,43.28,"Lowe's Home Centers, LLC",2026-09-04,270.50,pending,https://mail.google.com/mail/u/0/#all/1a06da589b0fc446,gm-1a06da589b0fc446
2026-05-31,1616 Granite RECONCILED,,Home Depot,Concrete Stain,43.28,The Home Depot,2026-05-30,45.14,posted,https://drive.google.com/file/d/1zSpPFW_mjzMdrMO7fK0A4VmO47ZMCLAI/view?usp=drivesdk,gm-19e8f7d279f40059
2026-06-26,136 Bowling Green,,Home Depot,Front Door Handle,43.21,The Home Depot,2026-06-27,43.26,dismissed,https://drive.google.com/file/d/1kkeID76RIeJjxLdCHEu9In3d-gdnYuT_/view?usp=drivesdk,gm-19f093595e1ff13a
2026-09-06,469 Brushwood,,Home Depot,Stain,41.55,The Home Depot,2026-09-07,41.55,posted,https://drive.google.com/file/d/1SElXPZ95McrkuklcFeL5EqwLN7uVnKHk/view?usp=drivesdk,gm-1a07c578a33b385e
2026-06-28,1616 Granite RECONCILED,,Home Depot,Toilet Kits,40.01,The Home Depot,2026-06-29,62.63,pending,https://mail.google.com/mail/u/0/#all/19f1526194ff1558,gm-19f1526194ff1558
2026-09-01,Cost Recapture,Sparkling & Granite,Waxahachie Water,Card Service Fee,40.00,Central States Water Resources,2026-09-07,48.45,pending,https://mail.google.com/mail/u/0/#all/1a082f33d602358c,gm-1a082f33d602358c
2026-06-18,104 Ashburne,Supplies,Home Depot,1x4,39.84,The Home Depot,2026-06-18,47.93,posted,https://drive.google.com/file/d/14Vwq9UQyvA4guQDR9a0hjNvt71QqaZKP/view?usp=drivesdk,gm-19edabdf68ad91f0
2026-03-30,104 Ashburne,Landscaping,Home Depot,Fence Boards,39.34,The Home Depot,2026-04-09,40.01,posted,https://drive.google.com/file/d/1VynliTBCglRE2pcQ_tceYqI8HUFy36Mu/view?usp=drivesdk,gm-19d724c5c326c549
2026-03-23,104 Ashburne,Gas/Truck/Trailer,AutoXZone,Oil,38.95,AutoZone,2026-03-23,38.95,posted,https://drive.google.com/file/d/1IKvTFnDbZ2SdDEcV3owL7yzvrbUUm3r-/view?usp=drivesdk,gm-19d1aff5eaa6fee2
2026-04-01,104 Ashburne,Paint & Flooring,Home Depot,Quarter Round,38.78,The Home Depot,2026-04-09,40.01,posted,https://drive.google.com/file/d/1VynliTBCglRE2pcQ_tceYqI8HUFy36Mu/view?usp=drivesdk,gm-19d724c5c326c549
2026-06-10,1616 Granite RECONCILED,,Lowes,Floor Paint,37.97,Uber Eats,2026-06-14,37.97,dismissed,https://mail.google.com/mail/u/0/#all/19ec7c49ce79aefb,gm-19ec7c49ce79aefb
2026-03-22,104 Ashburne,Supplies,Home Depot,Shopvac Filters,37.86,The Home Depot,2026-03-15,36.72,posted,https://drive.google.com/file/d/1Khf1l0UStQxjhBklhnHrIIcDUeXEG_k9/view?usp=drivesdk,gm-19cf3177d3ee370b
2026-03-06,104 Ashburne,Supplies,Home Depot,Multi Tool Blades,36.74,The Home Depot,2026-03-15,36.72,posted,https://drive.google.com/file/d/1Khf1l0UStQxjhBklhnHrIIcDUeXEG_k9/view?usp=drivesdk,gm-19cf3177d3ee370b
2026-02-16,RECAST BIZ,Tools,Harbor Freight,Roto Hammer Bits,34.62,Harbor Freight Tools,2026-02-16,250.77,pending,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gm-19c678226649aa40
2026-04-01,104 Ashburne,Paint & Flooring,Lowes,Quarter Round,34.47,The Home Depot,2026-03-21,389.93,pending,https://mail.google.com/mail/u/0/#all/19d20cf12a8888da,gm-19d20cf12a8888da
2026-06-25,136 Bowling Green,,Home Depot,9V Batteries,33.28,The Home Depot,2026-06-25,176.59,error,https://mail.google.com/mail/u/0/#all/19f00c2049c512fe,gm-19f00c2049c512fe
2026-03-19,104 Ashburne,Master Bath,Lowes,Water Supplies,33.25,"Lowe's Home Centers, LLC",2026-03-19,54.08,posted,https://drive.google.com/file/d/19CDPV6LBlECOIoOzvbWhAXCfix7yM4qa/view?usp=drivesdk,gm-19d069c13314e2b8
2026-06-16,104 Ashburne,Supplies,Home Depot,1x4's,33.20,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-03-12,104 Ashburne,Master Bath,Home Depot,FJP 1x6,32.99,The Home Depot,2026-03-11,31.51,dismissed,https://drive.google.com/file/d/1GiA2UtFVn8bDxbkOwoZQv7HbeZvQD9TR/view?usp=drivesdk,gm-19cdd47626a096cb
2026-03-17,104 Ashburne,Kitchen,Amazon,Under Cabinet Lights,32.46,The Home Depot,2026-03-04,39.96,dismissed,https://drive.google.com/file/d/1Uwei2_T3KI7kMh1xSsLiEKItq95rgaf0/view?usp=drivesdk,gm-19cb9b1055042f0e
2026-05-29,1616 Granite RECONCILED,,Home Depot,Toilet Seat,32.45,The Home Depot,2026-05-29,-50.36,pending,https://mail.google.com/mail/u/0/#all/19e758f6dc2ba281,gm-19e758f6dc2ba281
2026-03-21,104 Ashburne,Master Bath,Lowes,Window Trim,31.01,"Lowe's Home Centers, LLC",2026-03-21,297.23,posted,https://drive.google.com/file/d/1HM8VakTScJcmLg3JbX6vNGs2Uvnn0vx9/view?usp=drivesdk,gm-19d11a93764263f8
2026-05-27,1616 Granite RECONCILED,,Amazon,Curtain Rods,30.80,"Anthropic, PBC",2026-06-03,20.00,pending,https://mail.google.com/mail/u/0/#all/19e8ed8492f559bc,gm-19e8ed8492f559bc
2026-03-12,104 Ashburne,Supplies,Home Depot,Screws,29.74,The Home Depot,2026-03-11,31.51,dismissed,https://drive.google.com/file/d/1GiA2UtFVn8bDxbkOwoZQv7HbeZvQD9TR/view?usp=drivesdk,gm-19cdd47626a096cb
2026-03-15,104 Ashburne,Supplies,Home Depot,Screws,28.52,"Lowe's Home Centers, LLC",2026-03-02,28.52,posted,https://drive.google.com/file/d/1UHa6Mjac3NkeoahMrgYlbpkGekdHkUud/view?usp=drivesdk,gm-19cb1566e7f23282
2026-06-29,RECAST BIZ,Tools,The Home Depot,"CHANNELLOCK 12"" TONGUE & GROOVE PLIER",27.03,The Home Depot,2026-06-29,37.40,posted,https://drive.google.com/file/d/1FGi9_EegpWd4aTwTVME7KCpdXgTVVCT0/view?usp=drivesdk,gm-19f13a69198b2b6c
2026-04-01,104 Ashburne,Small Baths,Home Depot,angle stops,27.00,The Home Depot,2026-03-29,25.73,posted,https://drive.google.com/file/d/1zpsw1UtLt56dMKgx0tBeOEqf_R9zHYQd/view?usp=drivesdk,gm-19d3a708f16b12eb
2026-03-19,104 Ashburne,Lighting & Electrical,Lowes,"18"" Downrod",25.88,"Lowe's Home Centers, LLC",2026-03-19,54.08,posted,https://drive.google.com/file/d/19CDPV6LBlECOIoOzvbWhAXCfix7yM4qa/view?usp=drivesdk,gm-19d069c13314e2b8
2026-04-03,104 Ashburne,Paint & Flooring,Lowes,Quarter Round,25.76,"Lowe's Home Centers, LLC",2026-04-03,341.72,posted,https://mail.google.com/mail/u/0/#all/19d535a923f6b186,gm-19d535a923f6b186
2026-07-01,881 Newport,,Home Depot,Toilet Seat,25.56,The Home Depot,2026-07-01,118.15,posted,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk,gm-19f237650c695b39
2026-04-01,104 Ashburne,Supplies,Home Depot,Angle Grinder discs,25.37,The Home Depot,2026-03-29,25.73,posted,https://drive.google.com/file/d/1zpsw1UtLt56dMKgx0tBeOEqf_R9zHYQd/view?usp=drivesdk,gm-19d3a708f16b12eb
2026-03-26,104 Ashburne,Master Bath,Home Depot,Closet Shelf,23.79,The Home Depot,2026-04-06,23.79,dismissed,https://drive.google.com/file/d/1IFn_TDabMSIM9qWlUtXhbMTQKc4Sgbrq/view?usp=drivesdk,gm-19d62dc0a36bb7bd
2026-05-29,1616 Granite RECONCILED,,Home Depot,Toilet Parts,23.79,The Home Depot,2026-05-29,-50.36,pending,https://mail.google.com/mail/u/0/#all/19e758f6dc2ba281,gm-19e758f6dc2ba281
2026-08-05,136 Bowling Green,,Ace Hardware,Padlock,22.99,Keith Ace Hardware - Red Oak,2026-08-05,29.22,posted,https://drive.google.com/file/d/1EfY_Lfa7b7guZgzZkT84kPFDcgUemzxo/view?usp=drivesdk,gm-19fd4002e0935c03
2026-04-01,104 Ashburne,House Hardware,Home Depot,oor weather stripping,22.50,The Home Depot,2026-04-06,23.79,dismissed,https://drive.google.com/file/d/1IFn_TDabMSIM9qWlUtXhbMTQKc4Sgbrq/view?usp=drivesdk,gm-19d62dc0a36bb7bd
2026-06-16,104 Ashburne,Supplies,Home Depot,Nuts and bolts,22.09,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-03-15,104 Ashburne,Supplies,Home Depot,Sanding Discs,21.56,The Home Depot,2026-03-15,313.59,dismissed,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,gm-19cf2444d6efb00f
2026-03-19,104 Ashburne,Supplies,Lowes,Silicone Caulk,20.96,"Lowe's Home Centers, LLC",2026-03-19,54.08,posted,https://drive.google.com/file/d/19CDPV6LBlECOIoOzvbWhAXCfix7yM4qa/view?usp=drivesdk,gm-19d069c13314e2b8
2026-09-02,366 Mesa,,Home Depot,?,20.72,The Home Depot,2026-09-02,158.05,pending,https://mail.google.com/mail/u/0/#all/1a0637f9de324f8d,gm-1a0637f9de324f8d
2026-06-30,104 Ashburne,Small Baths,Home Depot,Caulk,19.98,The Home Depot,2026-06-30,-74.57,pending,https://mail.google.com/mail/u/0/#all/19f18a7ab38c52cf,gm-19f18a7ab38c52cf
2026-08-03,366 Mesa,,Home Depot,?,19.66,The Home Depot,2026-08-07,161.29,posted,https://drive.google.com/file/d/11_r8UguQ_2I-0CPP2xYdlMNjdA_2TF8f/view?usp=drivesdk,gm-19fdce59eb5592c7
2026-09-02,469 Brushwood,,Home Depot,Concrete Degreaser,19.46,The Home Depot,2026-09-02,54.09,dismissed,https://drive.google.com/file/d/1VVBZai5054zzb980qLJEyNEnNvKvTCQe/view?usp=drivesdk,gm-1a0623f8d71b7b81
2026-03-21,104 Ashburne,Lighting & Electrical,Lowes,Downrod,18.97,"Lowe's Home Centers, LLC",2026-03-21,297.23,posted,https://drive.google.com/file/d/1HM8VakTScJcmLg3JbX6vNGs2Uvnn0vx9/view?usp=drivesdk,gm-19d11a93764263f8
2026-01-17,104 Ashburne,HVAC,Lowes,Pipe insulation,18.06,"Lowe's Home Centers, LLC",2026-01-17,180.34,posted,https://mail.google.com/mail/u/0/#all/19bcc629a4d83e4e,gm-19bcc629a4d83e4e
2026-03-26,104 Ashburne,Lighting & Electrical,Home Depot,Wall Plates,17.08,The Home Depot,2026-03-26,-53.14,pending,https://mail.google.com/mail/u/0/#all/19d2a51f5dffc8be,gm-19d2a51f5dffc8be
2026-01-11,104 Ashburne,Supplies,Home Depot,Screws,16.91,The Home Depot,2026-01-11,170.63,dismissed,https://drive.google.com/file/d/18kwSM9i62HT2pKEvr0gnuCMlvVbSj008/view?usp=drivesdk,gm-19badcf888c0b1cb
2026-03-25,104 Ashburne,Lighting & Electrical,Home Depot,New Work Boxes,16.33,The Home Depot,2026-03-25,241.50,pending,https://mail.google.com/mail/u/0/#all/19d25017467ed73d,gm-19d25017467ed73d
2026-06-26,136 Bowling Green,,Home Depot,Pole Sander,16.22,The Home Depot,2026-06-26,144.91,error,https://mail.google.com/mail/u/0/#all/19f059f5de8379eb,gm-19f059f5de8379eb
2026-06-28,280 Sparkling RECONCILED,,Home Depot,PVC Cement,16.22,The Home Depot,2026-06-28,7.47,pending,https://mail.google.com/mail/u/0/#all/19f1083966df0eb6,gm-19f1083966df0eb6
2026-03-12,104 Ashburne,Supplies,Home Depot,Screws,16.05,The Home Depot,2026-03-12,385.27,dismissed,https://drive.google.com/file/d/1RMeQFDpls9yzGZPbV5TpHGE7FRbsFkMo/view?usp=drivesdk,gm-19ce3297652cbfc8
2026-03-11,104 Ashburne,Small Baths,Home Depot,Angle Stop,15.76,The Home Depot,2026-03-11,31.51,dismissed,https://drive.google.com/file/d/1GiA2UtFVn8bDxbkOwoZQv7HbeZvQD9TR/view?usp=drivesdk,gm-19cdd47626a096cb
2026-04-01,104 Ashburne,Supplies,Home Depot,Adhesive,15.67,The Home Depot,2026-04-06,34.01,posted,https://drive.google.com/file/d/1C7ZiYTILoKbZKdoe7W9l8qekhlNuxSLe/view?usp=drivesdk,gm-19d6461d769e7e56
2026-02-15,104 Ashburne,Master Bath,Home Depot,2x4's,15.33,The Home Depot,2026-02-15,137.68,dismissed,https://mail.google.com/mail/u/0/#all/19c617b59e734eb5,gm-19c617b59e734eb5
2026-03-25,104 Ashburne,Supplies,Home Depot,Tapcon Scres & Bit,14.68,The Home Depot,2026-03-15,36.72,posted,https://drive.google.com/file/d/1Khf1l0UStQxjhBklhnHrIIcDUeXEG_k9/view?usp=drivesdk,gm-19cf3177d3ee370b
2026-04-05,104 Ashburne,Supplies,Home Depot,Nuts & Bolts,14.40,The Home Depot,2026-04-05,288.44,dismissed,https://drive.google.com/file/d/1Mfu4nYQ-PN91OkAOYTS4i10DoNp8I3Fp/view?usp=drivesdk,gm-19d5e139b4ae4612
2026-06-26,136 Bowling Green,,Home Depot,Drywall Tape,14.38,The Home Depot,2026-06-26,144.91,error,https://mail.google.com/mail/u/0/#all/19f059f5de8379eb,gm-19f059f5de8379eb
2026-03-02,104 Ashburne,Supplies,Home Depot,Paper Towels,14.05,"Lowe's Home Centers, LLC",2026-03-15,14.05,posted,https://drive.google.com/file/d/1EOC-K7bCn9ly0b-UN91I1rAM00bWOM8F/view?usp=drivesdk,gm-19cf25c0bd386e41
2026-03-23,104 Ashburne,Supplies,Home Depot,Shop Towels,14.05,"Lowe's Home Centers, LLC",2026-03-15,14.05,posted,https://drive.google.com/file/d/1EOC-K7bCn9ly0b-UN91I1rAM00bWOM8F/view?usp=drivesdk,gm-19cf25c0bd386e41
2026-05-30,1616 Granite RECONCILED,,Lowes,Door Mat,14.05,"Lowe's Home Centers, LLC",2026-05-30,24.58,pending,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gm-19e79a903622d62d
2026-03-22,104 Ashburne,Supplies,Home Depot,Dremel Post,14.04,The Home Depot,2026-03-22,514.16,pending,https://mail.google.com/mail/u/0/#all/19d16d3ec604edb7,gm-19d16d3ec604edb7
2026-06-26,136 Bowling Green,,Home Depot,Taping Knife,12.97,The Home Depot,2026-06-26,144.91,error,https://mail.google.com/mail/u/0/#all/19f059f5de8379eb,gm-19f059f5de8379eb
2026-04-10,104 Ashburne,Supplies,Home Depot,Plumbing parts,12.87,The Home Depot,2026-04-10,161.28,dismissed,https://drive.google.com/file/d/1ZZWXBGKWFAz2naMpYCN9EWej-44hzf7h/view?usp=drivesdk,gm-19d775f16740a511
2026-02-15,RECAST BIZ,Tools,Home Depot,Saw Blade,11.88,The Home Depot,2026-02-15,137.68,dismissed,https://mail.google.com/mail/u/0/#all/19c617b59e734eb5,gm-19c617b59e734eb5
2026-02-24,104 Ashburne,Lighting & Electrical,Amazon,Light Bulbs,10.81,The Home Depot,2026-02-19,390.12,pending,https://mail.google.com/mail/u/0/#all/19c76c4996bae8b0,gm-19c76c4996bae8b0
2026-07-01,881 Newport,,Home Depot,Roller Covers,10.80,The Home Depot,2026-07-01,118.15,posted,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk,gm-19f237650c695b39
2026-05-27,104 Ashburne,Supplies,Home Depot,Spackle,10.26,The Home Depot,2026-05-27,13.99,dismissed,https://drive.google.com/file/d/1-OIs50ZrKPG9rof0jJp12VUkThYkvuYw/view?usp=drivesdk,gm-19e69ec679ab8f42
2026-06-28,280 Sparkling RECONCILED,,Home Depot,Painters Towels,9.93,The Home Depot,2026-06-21,10.19,posted,https://drive.google.com/file/d/1TCuGcstnP2KBJcC9loCD_5AzWMKCGOC1/view?usp=drivesdk,gm-19eea5d1a93a9656
2026-08-13,366 Mesa,,Lowe's,Light Bulbs,9.72,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-05-30,1616 Granite RECONCILED,,Lowes,Irrigation Sprinkler,9.61,"Lowe's Home Centers, LLC",2026-05-30,24.58,pending,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gm-19e79a903622d62d
2026-03-26,104 Ashburne,Lighting & Electrical,Home Depot,Old Work Boxes,9.18,The Home Depot,2026-03-26,8.40,pending,https://mail.google.com/mail/u/0/#all/19d2c0314cc37287,gm-19d2c0314cc37287
2026-04-05,104 Ashburne,Supplies,Home Depot,Drill Bit,9.17,The Home Depot,2026-03-26,8.40,pending,https://mail.google.com/mail/u/0/#all/19d2c0314cc37287,gm-19d2c0314cc37287
2026-04-05,104 Ashburne,Supplies,Home Depot,Drill Bit,9.17,The Home Depot,2026-03-26,8.40,pending,https://mail.google.com/mail/u/0/#all/19d2c0314cc37287,gm-19d2c0314cc37287
2026-03-15,104 Ashburne,Supplies,Home Depot,Shims,8.92,The Home Depot,2026-03-15,313.59,dismissed,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,gm-19cf2444d6efb00f
2026-03-29,104 Ashburne,Supplies,Home Depot,Tapcon Screws,8.64,The Home Depot,2026-05-06,118.49,error,https://mail.google.com/mail/u/0/#all/19dfd55f48f159ef,gm-19dfd55f48f159ef
2026-04-02,104 Ashburne,Small Baths,Home Depot,Gaskets,8.31,The Home Depot,2026-03-26,8.40,pending,https://mail.google.com/mail/u/0/#all/19d2c0314cc37287,gm-19d2c0314cc37287
2026-06-26,136 Bowling Green,,Home Depot,Toilet Paper,8.04,The Home Depot,2026-06-28,6.35,posted,https://drive.google.com/file/d/1LDbnvaDUWaehYpm43Pn3u2YCPeYJv8cg/view?usp=drivesdk,gm-19f0e8b993f57cd0
2026-01-10,104 Ashburne,Supplies,Home Depot,Drywall Achors,7.67,The Home Depot,2026-01-15,6.47,dismissed,https://drive.google.com/file/d/1m86cWbuRY5agVEiIE86k775wH8s0MRT-/view?usp=drivesdk,gm-19bc1e5948839629
2026-07-01,881 Newport,,Home Depot,Drywall Panel,7.56,The Home Depot,2026-07-01,118.15,posted,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk,gm-19f237650c695b39
2026-06-16,104 Ashburne,Supplies,Home Depot,Spray Paint,7.56,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-06-25,RECAST BIZ,Office,The Home Depot,2X60 CL TAPE - SCOTCH HVYDUTY 54YDS RD 1PK,7.51,The Home Depot,2026-06-28,6.35,posted,https://drive.google.com/file/d/1LDbnvaDUWaehYpm43Pn3u2YCPeYJv8cg/view?usp=drivesdk,gm-19f0e8b993f57cd0
2026-09-05,881 Newport,,Lowes,Roofing Nails,7.01,"Lowe's Home Centers, LLC",2026-09-05,64.93,dry,https://drive.google.com/file/d/1mOzQrD5pJNRUrEmMU0nDe-pbYl_FgUoG/view?usp=drivesdk,dry-gm-1a07217d8a060601
2026-02-17,104 Ashburne,Small Baths,Home Depot,1/2 Wall Flanges,6.95,The Home Depot,2026-02-17,67.55,dismissed,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,gm-19c6be8d0bd458c9
2026-06-24,RECAST BIZ,Marketing,The Home Depot,Zip ties for signs,6.73,The Home Depot,2026-06-28,6.35,posted,https://drive.google.com/file/d/1LDbnvaDUWaehYpm43Pn3u2YCPeYJv8cg/view?usp=drivesdk,gm-19f0e8b993f57cd0
2026-07-01,881 Newport,,Home Depot,Roller Trays,6.47,The Home Depot,2026-07-01,118.15,posted,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk,gm-19f237650c695b39
2026-09-05,881 Newport,,Lowes,Ashphalt Caulk,6.47,"Lowe's Home Centers, LLC",2026-09-05,64.93,dry,https://drive.google.com/file/d/1mOzQrD5pJNRUrEmMU0nDe-pbYl_FgUoG/view?usp=drivesdk,dry-gm-1a07217d8a060601
2026-06-21,280 Sparkling RECONCILED,,Home Depot,Paint Roller Trays,6.47,The Home Depot,2026-06-28,7.47,pending,https://mail.google.com/mail/u/0/#all/19f1083966df0eb6,gm-19f1083966df0eb6
2026-03-05,104 Ashburne,Lighting & Electrical,Home Depot,Outlet Covers,5.85,The Home Depot,2026-03-11,6.68,posted,https://drive.google.com/file/d/1j1WViQ7k1WHOmJZyBUSey6ulfsSND2ln/view?usp=drivesdk,gm-19cddf3d9dcd3db2
2026-03-04,104 Ashburne,Supplies,UPS Store,Packing Tape,5.73,The UPS Store #5780,2026-03-04,5.73,pending,https://mail.google.com/mail/u/0/#all/19cbac340f4e5a7b,gm-19cbac340f4e5a7b
2026-03-23,104 Ashburne,Supplies,Home Depot,Abrasive Cloth,5.37,The Home Depot,2026-03-30,5.89,dismissed,https://drive.google.com/file/d/1eH50u6kK3woc7Xgyne6bKbnUkdJgzK_e/view?usp=drivesdk,gm-19d4078f56917fbb
2026-03-22,104 Ashburne,Supplies,Home Depot,Windex,5.27,The Home Depot,2026-03-30,5.89,dismissed,https://drive.google.com/file/d/1eH50u6kK3woc7Xgyne6bKbnUkdJgzK_e/view?usp=drivesdk,gm-19d4078f56917fbb
2026-01-10,104 Ashburne,Supplies,Home Depot,Batteries,4.74,The Home Depot,2026-01-15,6.47,dismissed,https://drive.google.com/file/d/1m86cWbuRY5agVEiIE86k775wH8s0MRT-/view?usp=drivesdk,gm-19bc1e5948839629
2026-06-16,104 Ashburne,Supplies,Home Depot,2x4,4.03,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-07-01,881 Newport,,Home Depot,Plug,3.77,The Home Depot,2026-07-01,118.15,posted,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk,gm-19f237650c695b39
2026-05-29,1616 Granite RECONCILED,,Home Depot,Irrigation Couplings,3.71,The Home Depot,2026-05-29,-50.36,pending,https://mail.google.com/mail/u/0/#all/19e758f6dc2ba281,gm-19e758f6dc2ba281
2026-03-17,104 Ashburne,Supplies,UPS Store,Packing Tape,3.57,The UPS Store #5780,2026-03-17,3.57,posted,https://drive.google.com/file/d/1BVUUzcHPdsnZP96tGaDOuMUU0kTDYDmr/view?usp=drivesdk,gm-19cfc60f0514c660
2026-02-17,104 Ashburne,Gas/Truck/Trailer,O'Reily,Lug Nut,3.45,O'Reilly Auto Parts,2026-02-17,3.45,posted,https://drive.google.com/file/d/183Y2DLyc7jPK3dOA9KRu7ePJnZuLj0Cm/view?usp=drivesdk,gm-19c6bce6982d294b
2026-06-16,104 Ashburne,Supplies,Home Depot,Nuts and Bolts,2.89,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-02-17,RECAST BIZ,Tools,Home Depot,Shark Bite Tool,2.65,The Home Depot,2026-02-17,67.55,dismissed,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,gm-19c6be8d0bd458c9
2026-03-26,104 Ashburne,Master Bath,Home Depot,Hose Clamp,2.53,The Home Depot,2026-03-26,-53.14,pending,https://mail.google.com/mail/u/0/#all/19d2a51f5dffc8be,gm-19d2a51f5dffc8be
2026-06-25,RECAST BIZ,Office,The Home Depot,MED BOX - MEDIUM BOX 20X16X15,2.47,The Home Depot,2026-06-27,2.01,posted,https://mail.google.com/mail/u/0/#all/19f3f68f0a53b2e9,gm-19f3f68f0a53b2e9
2026-06-25,RECAST BIZ,Office,The Home Depot,MED BOX - MEDIUM BOX 20X16X15,2.47,The Home Depot,2026-06-27,2.01,posted,https://mail.google.com/mail/u/0/#all/19f3f68f0a53b2e9,gm-19f3f68f0a53b2e9
2026-05-30,1616 Granite RECONCILED,,Home Depot,Irrigation Bubbler,1.87,"Lowe's Home Centers, LLC",2026-05-30,24.58,pending,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gm-19e79a903622d62d
2026-08-18,366 Mesa,,Home Depot,Pipe coupling,1.18,The Home Depot,2026-08-14,87.26,posted,https://drive.google.com/file/d/1OC65derKXGQVjdxfhUbk9VOAiEt8kw68/view?usp=drivesdk,gm-1a000805d296df8b
2026-03-22,104 Ashburne,Supplies,Home Depot,Teflon Tape,1.06,The Home Depot,2026-03-22,514.16,pending,https://mail.google.com/mail/u/0/#all/19d16d3ec604edb7,gm-19d16d3ec604edb7
2026-05-30,1616 Granite RECONCILED,,Lowes,Irrigation Riser,0.92,"Lowe's Home Centers, LLC",2026-05-30,24.58,pending,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gm-19e79a903622d62d
2026-06-13,RECAST BIZ,Website,"Netlify, Inc.","Netlify, Inc. invoice (#SFWGOE-00004)",0.00,VistaPrint,2026-06-13,0.00,dismissed,https://mail.google.com/mail/u/0/#all/19ebf24ef82905c2,gm-19ebf24ef82905c2
2026-06-13,RECAST BIZ,Subscriptions,"Anthropic, PBC",Unused time on Claude Pro after 13 Jun 2026,-13.34,"Anthropic, PBC",2026-06-03,20.00,pending,https://mail.google.com/mail/u/0/#all/19e8ed8492f559bc,gm-19e8ed8492f559bc
2026-03-21,104 Ashburne,Lighting & Electrical,Lowes,RETURN celing fan,-108.23,"Lowe's Home Centers, LLC",2026-03-21,297.23,posted,https://drive.google.com/file/d/1HM8VakTScJcmLg3JbX6vNGs2Uvnn0vx9/view?usp=drivesdk,gm-19d11a93764263f8
2026-03-19,104 Ashburne,Small Baths,Floor & Decor,RETURN,-121.02,Floor and Decor,2026-03-19,18.71,posted,https://drive.google.com/file/d/1iymiaOKtrlJ5dRVrqJqpyvtVmhquXSlf/view?usp=drivesdk,gm-19d07518d663dbfe
